,FundCode,类型
878,1417,混合型
879,1419,混合型
880,1421,股票型
881,1422,混合型
882,1423,混合型
883,1424,混合型
884,1425,混合型
885,1427,混合型
886,1428,混合型
887,1430,混合型
888,1433,混合型
889,1437,混合型
890,1438,混合型
891,1443,混合型
892,1444,混合型
893,1445,混合型
894,1446,混合型
895,1447,混合型
896,1448,混合型
897,1449,混合型
898,1457,混合型
899,1463,混合型
900,1464,混合型
901,1466,混合型
902,1467,混合型
903,1468,混合型
904,1470,混合型
905,1471,混合型
906,1473,股票型
907,1474,混合型
908,1475,混合型
909,1476,股票型
910,1477,货币型
911,1478,货币型
912,1479,混合型
913,1480,混合型
914,1482,股票型
915,1484,混合型
916,1485,混合型
917,1487,混合型
918,1488,混合型
919,1489,混合型
920,1490,股票型
921,1495,混合型
922,1496,股票型
923,1498,混合型
924,1499,混合型
925,1500,混合型
926,1503,混合型
927,1504,混合型
928,1505,混合型
929,1506,混合型
930,1507,混合型
931,1508,混合型
932,1510,混合型
933,1511,混合型
934,1513,混合型
935,1515,混合型
936,1518,混合型
937,1520,股票型
938,1521,股票型
939,1522,混合型
940,1523,混合型
941,1524,混合型
942,1526,货币型
943,1527,货币型
944,1528,股票型
945,1529,货币型
946,1530,混合型
947,1531,混合型
948,1532,混合型
949,1534,混合型
950,1535,混合型
951,1536,混合型
952,1537,混合型
953,1538,混合型
954,1540,混合型
955,1541,股票型
956,1542,股票型
957,1547,混合型
958,1558,混合型
959,1559,混合型
960,1562,混合型
961,1563,混合型
962,1564,混合型
963,1566,混合型
964,1567,混合型
965,1569,混合型
966,1570,混合型
967,1571,混合型
968,1572,混合型
969,1573,混合型
970,1574,混合型
971,1575,债券型
972,1576,股票型
973,1577,股票型
974,1578,债券型
975,1579,股票型
976,1580,混合型
977,1581,混合型
978,1583,股票型
979,1584,混合型
980,1585,混合型
981,1596,混合型
982,1601,混合型
983,1602,混合型
984,1603,混合型
985,1604,混合型
986,1605,股票型
987,1606,混合型
988,1607,混合型
989,1608,混合型
990,1609,混合型
991,1610,混合型
992,1613,混合型
993,1614,混合型
994,1615,混合型
995,1616,股票型
996,1620,混合型
997,1621,货币型
998,1623,混合型
999,1624,货币型
1000,1625,货币型
1001,1626,股票型
1002,1628,股票型
1003,1633,混合型
1004,1634,混合型
1005,1635,混合型
1006,1636,混合型
1007,1637,股票型
1008,1638,股票型
1009,1641,混合型
1010,1643,股票型
1011,1644,股票型
1012,1645,股票型
1013,1648,混合型
1014,1650,混合型
1015,1651,股票型
1016,1654,混合型
1017,1656,混合型
1018,1657,混合型
1019,1659,混合型
1020,1660,混合型
1021,1661,债券型
1022,1662,混合型
1023,1663,股票型
1024,1664,混合型
1025,1665,混合型
1026,1666,货币型
1027,1667,混合型
1028,1669,货币型
1029,1672,股票型
1030,1675,混合型
1031,1676,混合型
1032,1677,股票型
1033,1678,股票型
1034,1679,混合型
1035,1681,混合型
1036,1682,混合型
1037,1683,混合型
1038,1685,股票型
1039,1686,混合型
1040,1687,混合型
1041,1688,混合型
1042,1692,股票型
1043,1694,混合型
1044,1695,混合型
1045,1696,股票型
1046,1697,货币型
1047,1698,货币型
1048,1699,货币型
1049,1701,混合型
1050,1702,混合型
1051,1703,股票型
1052,1704,混合型
1053,1705,股票型
1054,1706,混合型
1055,1707,股票型
1056,1708,混合型
1057,1709,混合型
1058,1710,混合型
1059,1711,混合型
1060,1712,混合型
1061,1714,股票型
1062,1715,混合型
1063,1716,混合型
1064,1717,股票型
1065,1718,股票型
1066,1719,股票型
1067,1720,混合型
1068,1721,混合型
1069,1722,混合型
1070,1723,混合型
1071,1724,混合型
1072,1725,股票型
1073,1726,股票型
1074,1727,混合型
1075,1728,混合型
1076,1729,混合型
1077,1730,混合型
1078,1731,混合型
1079,1732,混合型
1080,1733,股票型
1081,1734,混合型
1082,1735,混合型
1083,1736,股票型
1084,1738,混合型
1085,1739,混合型
1086,1740,混合型
1087,1741,混合型
1088,1742,混合型
1089,1743,混合型
1090,1744,混合型
1091,1745,混合型
1092,1746,混合型
1093,1747,混合型
1094,1748,混合型
1095,1749,股票型
1096,1751,债券型
1097,1752,债券型
1098,1753,混合型
1099,1755,混合型
1100,1756,混合型
1101,1758,混合型
1102,1759,混合型
1103,1760,混合型
1104,1761,混合型
1105,1762,混合型
1106,1763,混合型
1107,1764,股票型
1108,1765,混合型
1109,1766,股票型
1110,1769,混合型
1111,1770,混合型
1112,1771,混合型
1113,1772,混合型
1114,1773,混合型
1115,1774,混合型
1116,1775,混合型
1117,1776,债券型
1118,1779,债券型
1119,1780,混合型
1120,1781,股票型
1121,1782,混合型
1122,1783,债券型
1123,1784,债券型
1124,1789,混合型
1125,1790,股票型
1126,1791,混合型
1127,1792,混合型
1128,1794,债券型
1129,1795,混合型
1130,1796,混合型
1131,1797,混合型
1132,1798,混合型
1133,1799,混合型
1134,1800,混合型
1135,1801,混合型
1136,1802,混合型
1137,1803,混合型
1138,1806,混合型
1139,1807,混合型
1140,1808,混合型
1141,1809,混合型
1142,1810,混合型
1143,1811,混合型
1144,1812,货币型
1145,1815,混合型
1146,1816,混合型
1147,1820,货币型
1148,1821,货币型
1149,1822,混合型
1150,1823,混合型
1151,1824,混合型
1152,1825,股票型
1153,1826,货币型
1154,1827,混合型
1155,1829,混合型
1156,1830,混合型
1157,1834,混合型
1158,1837,混合型
1159,1838,混合型
1160,1839,混合型
1161,1842,货币型
1162,1843,货币型
1163,1844,混合型
1164,1849,股票型
1165,1850,混合型
1166,1852,混合型
1167,1856,混合型
1168,1857,混合型
1169,1858,混合型
1170,1861,混合型
1171,1862,债券型
1172,1863,债券型
1173,1864,混合型
1174,1865,混合型
1175,1866,混合型
1176,1867,货币型
1177,1868,债券型
1178,1869,混合型
1179,1870,货币型
1180,1871,货币型
1181,1874,混合型
1182,1875,混合型
1183,1877,股票型
1184,1878,股票型
1185,1880,混合型
1186,1881,混合型
1187,1882,混合型
1188,1883,混合型
1189,1884,混合型
1190,1885,混合型
1191,1886,混合型
1192,1887,混合型
1193,1888,混合型
1194,1889,债券型
1195,1890,混合型
1196,1891,混合型
1197,1892,混合型
1198,1893,货币型
1199,1894,货币型
1200,1895,货币型
1201,1897,混合型
1202,1898,混合型
1203,1900,混合型
1204,1901,混合型
1205,1902,混合型
1206,1903,混合型
1207,1904,混合型
1208,1905,混合型
1209,1907,混合型
1210,1908,混合型
1211,1909,货币型
1212,1910,混合型
1213,1911,债券型
1214,1914,混合型
1215,1915,股票型
1216,1916,货币型
1217,1917,股票型
1218,1918,债券型
1219,1919,债券型
1220,1920,债券型
1221,1921,债券型
1222,1922,混合型
1223,1924,混合型
1224,1925,货币型
1225,1926,货币型
1226,1927,混合型
1227,1928,混合型
1228,1929,货币型
1229,1930,货币型
1230,1931,货币型
1231,1932,混合型
1232,1933,混合型
1233,1937,货币型
1234,1938,股票型
1235,1939,混合型
1236,1940,混合型
1237,1941,债券型
1238,1942,混合型
1239,1943,混合型
1240,1945,债券型
1241,1946,债券型
1242,1947,混合型
1243,1948,债券型
1244,1949,债券型
1245,1951,混合型
1246,1954,混合型
1247,1955,混合型
1248,1956,股票型
1249,1957,债券型
1250,1958,债券型
1251,1959,混合型
1252,1960,债券型
1253,1963,债券型
1254,1965,混合型
1255,1966,混合型
1256,1967,混合型
1257,1970,混合型
1258,1972,混合型
1259,1973,货币型
1260,1974,股票型
1261,1975,股票型
1262,1978,混合型
1263,1979,混合型
1264,1980,混合型
1265,1981,货币型
1266,1982,货币型
1267,1983,混合型
1268,1985,混合型
1269,1986,混合型
1270,1987,货币型
1271,1988,债券型
1272,1989,债券型
1273,1990,混合型
1274,1991,货币型
1275,1992,货币型
1276,1993,债券型
1277,1997,混合型
1278,1998,混合型
1279,2000,混合型
1280,2001,混合型
1281,2003,混合型
1282,2004,混合型
1283,2005,混合型
1284,2006,混合型
1285,2009,混合型
1286,2010,混合型
1287,2011,混合型
1288,2015,混合型
1289,2016,混合型
1290,2017,混合型
1291,2018,混合型
1292,2019,混合型
1293,2020,混合型
1294,2021,混合型
1295,2023,混合型
1296,2024,混合型
1297,2025,混合型
1298,2026,混合型
1299,2027,混合型
1300,2028,混合型
1301,2029,混合型
1302,2030,混合型
1303,2031,混合型
1304,2035,混合型
1305,2036,混合型
1306,2043,混合型
1307,2046,混合型
1308,2049,混合型
1309,2051,混合型
1310,2052,混合型
1311,2053,混合型
1312,2054,混合型
1313,2055,混合型
1314,2056,混合型
1315,2057,混合型
1316,2058,混合型
1317,2059,混合型
1318,2060,混合型
1319,2061,混合型
1320,2062,混合型
1321,2064,混合型
1322,2065,债券型
1323,2066,债券型
1324,2067,混合型
1325,2068,混合型
1326,2071,混合型
1327,2072,混合型
1328,2073,债券型
1329,2074,债券型
1330,2075,混合型
1331,2077,货币型
1332,2078,货币型
1333,2079,混合型
1334,2080,混合型
1335,2082,混合型
1336,2083,混合型
1337,2084,混合型
1338,2085,混合型
1339,2086,债券型
1340,2087,混合型
1341,2088,混合型
1342,2091,混合型
1343,2095,混合型
1344,2096,混合型
1345,2101,债券型
1346,2102,债券型
1347,2103,混合型
1348,2106,混合型
1349,2111,混合型
1350,2112,混合型
1351,2116,混合型
1352,2117,混合型
1353,2118,混合型
1354,2119,混合型
