,FundCode,Sim1,name,type,Sim2
6331,40047,HANSDK100ZSXC,华安纳斯达克100指数现钞,QDII-指数,HUAANNASIDAKE100ZHISHUXIANCHAO
6332,40048,HANSDK100ZSXH,华安纳斯达克100指数现汇,QDII-指数,HUAANNASIDAKE100ZHISHUXIANHUI
6333,40180,HASZ180ETFLJ,华安上证180ETF联接,联接基金,HUAANSHANGZHENG180ETFLIANJIE
6334,40190,HASZLTETFLJ,华安上证龙头ETF联接,联接基金,HUAANSHANGZHENGLONGTOUETFLIANJIE
6337,41003,HAXJFLHBB,华安现金富利货币B,货币型,HUAANXIANJINFULIHUOBIB
6344,50001,BSJZZZHH,博时价值增长混合,混合型,BOSHIJIAZHIZENGZHANGHUNHE
6345,50002,BSHS300ZSA,博时沪深300指数A,股票指数,BOSHIHUSHEN300ZHISHUA
6346,50003,BSXJSYHBA,博时现金收益货币A,货币型,BOSHIXIANJINSHOUYIHUOBIA
6347,50004,BSJXHHA,博时精选混合A,混合型,BOSHIJINGXUANHUNHEA
6348,50006,BSWDJZZQB,博时稳定价值债券B,债券型,BOSHIWENDINGJIAZHIZHAIQUANB
6349,50007,BSPHPZHH,博时平衡配置混合,混合型,BOSHIPINGHENGPEIZHIHUNHE
6350,50008,BSDSCYHH,博时第三产业混合,混合型,BOSHIDISANCHANYEHUNHE
6351,50009,BSXXCZHH,博时新兴成长混合,混合型,BOSHIXINXINGCHENGZHANGHUNHE
6352,50010,BSTXJZHHA,博时特许价值混合A,混合型,BOSHITEXUJIAZHIHUNHEA
6353,50011,BSXYZQAB,博时信用债券A/B,债券型,BOSHIXINYONGZHAIQUANAB
6354,50012,BSCLHH,博时策略混合,混合型,BOSHICELUEHUNHE
6355,50013,BSSZCDPETFLJ,博时上证超大盘ETF联接,联接基金,BOSHISHANGZHENGCHAODAPANETFLIANJIE
6356,50014,BSCYCZHHA,博时创业成长混合A,混合型,BOSHICHUANGYECHENGZHANGHUNHEA
6357,50015,BSDZHYTJX,博时大中华亚太精选,QDII,BOSHIDAZHONGHUAYATAIJINGXUAN
6358,50016,BSHGHBZQAB,博时宏观回报债券A/B,债券型,BOSHIHONGGUANHUIBAOZHAIQUANAB
6359,50018,BSHYLDHH,博时行业轮动混合,混合型,BOSHIHANGYELUNDONGHUNHE
6360,50019,BSZZZQZQA,博时转债增强债券A,债券型,BOSHIZHUANZHAIZENGQIANGZHAIQUANA
6361,50020,BSKTZZQHB,博时抗通胀增强回报,QDII,BOSHIKANGTONGZHANGZENGQIANGHUIBAO
6362,50021,BSCYBETFLJA,博时创业板ETF联接A,联接基金,BOSHICHUANGYEBANETFLIANJIEA
6363,50022,BSHBHH,博时回报混合,混合型,BOSHIHUIBAOHUNHE
6364,50023,BSTYZQA,博时天颐债券A,债券型,BOSHITIANYIZHAIQUANA
6365,50024,BSSZZRZYETFLJ,博时上证自然资源ETF联接,联接基金,BOSHISHANGZHENGZIRANZIYUANETFLIANJIE
6366,50025,BSBP500ETFLJA,博时标普500ETF联接A,QDII-指数,BOSHIBIAOPU500ETFLIANJIEA
6367,50026,BSYLBJHYHHA,博时医疗保健行业混合A,混合型,BOSHIYILIAOBAOJIANHANGYEHUNHEA
6368,50027,BSXYZCZZQA,博时信用债纯债债券A,债券型,BOSHIXINYONGZHAICHUNZHAIZHAIQUANA
6369,50028,BSAXSYDKZA,博时安心收益定开债A,定开债券,BOSHIANXINSHOUYIDINGKAIZHAIA
6370,50030,BSYZPXSYZQ,博时亚洲票息收益债券,QDII,BOSHIYAZHOUPIAOXISHOUYIZHAIQUAN
6371,50106,BSWDJZZQA,博时稳定价值债券A,债券型,BOSHIWENDINGJIAZHIZHAIQUANA
6372,50111,BSXYZQC,博时信用债券C,债券型,BOSHIXINYONGZHAIQUANC
6373,50116,BSHGHBZQC,博时宏观回报债券C,债券型,BOSHIHONGGUANHUIBAOZHAIQUANC
6374,50119,BSZZZQZQC,博时转债增强债券C,债券型,BOSHIZHUANZHAIZENGQIANGZHAIQUANC
6375,50123,BSTYZQC,博时天颐债券C,债券型,BOSHITIANYIZHAIQUANC
6376,50128,BSAXSYDKZC,博时安心收益定开债C,定开债券,BOSHIANXINSHOUYIDINGKAIZHAIC
6377,50201,BSJZZZEHHH,博时价值增长贰号混合,混合型,BOSHIJIAZHIZENGZHANGERHAOHUNHE
6378,50202,BSYZPXSYZQXH,博时亚洲票息收益债券现汇,QDII,BOSHIYAZHOUPIAOXISHOUYIZHAIQUANXIANHUI
6379,50203,BSYZPXSYZQXC,博时亚洲票息收益债券现钞,QDII,BOSHIYAZHOUPIAOXISHOUYIZHAIQUANXIANCHAO
6387,70001,JSCZSYHHA,嘉实成长收益混合A,混合型,JIASHICHENGZHANGSHOUYIHUNHEA
6388,70002,JSZZHH,嘉实增长混合,混合型,JIASHIZENGZHANGHUNHE
6389,70003,JSWJHH,嘉实稳健混合,混合型,JIASHIWENJIANHUNHE
6390,70005,JSZQ,嘉实债券,债券型,JIASHIZHAIQUAN
