,Unnamed: 0,FundCode,Sim1,name,type,Sim2
205,219,279,HSHLYXHH,华商红利优选混合,混合型,HUASHANGHONGLIYOUXUANHUNHE
206,220,286,YHXYJJHZQA,银华信用季季红债券A,债券型,YINHUAXINYONGJIJIHONGZHAIQUANA
209,223,294,HASTYXHH,华安生态优先混合,混合型,HUAANSHENGTAIYOUXIANHUNHE
212,226,297,PHKZZZQ,鹏华可转债债券,债券型,PENGHUAKEZHUANZHAIZHAIQUAN
213,227,298,ZHCZZQA,中海纯债债券A,债券型,ZHONGHAICHUNZHAIZHAIQUANA
214,228,299,ZHCZZQC,中海纯债债券C,债券型,ZHONGHAICHUNZHAIZHAIQUANC
215,229,300,DBDLHBA,德邦德利货币A,货币型,DEBANGDELIHUOBIA
216,230,301,DBDLHBB,德邦德利货币B,货币型,DEBANGDELIHUOBIB
217,231,305,ZYZGDJA,中银中高等级A,债券型,ZHONGYINZHONGGAODENGJIA
218,232,306,THHLZQ,天弘弘利债券,债券型,TIANHONGHONGLIZHAIQUAN
220,234,308,JXCXZGHH,建信创新中国混合,混合型,JIANXINCHUANGXINZHONGGUOHUNHE
221,235,309,DMPZSHJXGP,大摩品质生活精选股票,股票型,DAMOPINZHISHENGHUOJINGXUANGUPIAO
226,240,314,ZSRFLHPZHHFQSA,招商瑞丰灵活配置混合发起式A,混合型,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIA
227,241,316,ZHHLFJZQ,中海惠利分级债券,债券型,ZHONGHAIHUILIFENJIZHAIQUAN
230,244,319,TDTLZQA,泰达淘利债券A,债券型,TAIDATAOLIZHAIQUANA
231,245,320,TDTLZQC,泰达淘利债券C,债券型,TAIDATAOLIZHAIQUANC
234,248,324,HRYDXJSYHBA,华润元大现金收益货币A,货币型,HUARUNYUANDAXIANJINSHOUYIHUOBIA
235,249,325,HRYDXJSYHBB,华润元大现金收益货币B,货币型,HUARUNYUANDAXIANJINSHOUYIHUOBIB
236,250,326,NFZXPCZGP,南方中小盘成长股票,股票型,NANFANGZHONGXIAOPANCHENGZHANGGUPIAO
237,251,327,NFXLCHH,南方新蓝筹混合,混合型,NANFANGXINLANCHOUHUNHE
