,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
4257,001186,股票型,2.99%,14.36%,34.21%,高风险,12.81亿元
4258,000198,货币型,0.19%,2.50%,10.11%,无,10335.63亿元
4259,460008,债券型,0.60%,5.47%,11.48%,中低风险,5.52亿元
4260,000640,货币型,0.19%,2.97%,10.81%,无,0.97亿元
4261,000561,债券型,0.44%,4.61%,6.60%,中低风险,38.12亿元
4262,166012,债券型,0.64%,4.28%,3.08%,中低风险,0.32亿元
4263,160514,债券型,1.77%,7.91%,1.07%,中风险,0.58亿元
4264,519163,债券型,-0.58%,5.23%,11.88%,中风险,0.44亿元
4265,001070,股票型,4.63%,34.49%,20.59%,高风险,4.00亿元
4266,519050,混合型,1.13%,9.62%,20.98%,中高风险,3.62亿元
4267,001232,货币型,0.16%,2.67%,11.53%,低风险,2.57亿元
4268,290010,股票指数,0.32%,6.76%,-9.63%,高风险,0.51亿元
4269,206012,股票型,2.23%,17.18%,-2.21%,高风险,0.53亿元
4270,001074,混合型,-0.31%,12.61%,21.89%,中高风险,5.68亿元
4271,165517,债券型,0.86%,5.36%,12.52%,中风险,24.74亿元
4272,519909,混合型,-0.84%,8.02%,21.57%,中高风险,9.93亿元
4273,460108,债券型,0.55%,5.00%,10.36%,中低风险,1.25亿元
4274,541005,债券型,0.67%,4.78%,4.64%,中风险,0.13亿元
4275,161613,股票指数,4.49%,9.71%,-26.62%,高风险,9.24亿元
4276,001264,混合型,1.41%,21.33%,29.45%,中高风险,0.44亿元
4277,000082,股票型,1.77%,17.38%,28.81%,高风险,10.44亿元
4278,000379,货币型,0.20%,2.75%,10.36%,低风险,1295.19亿元
4279,000562,债券型,0.35%,4.16%,5.49%,中低风险,1.30亿元
4280,165809,债券指数,0.87%,10.91%,-0.19%,高风险,0.19亿元
4281,210010,混合型,0.11%,9.09%,20.64%,中高风险,0.06亿元
4282,000843,混合型,0.89%,1.07%,5.11%,中高风险,0.02亿元
4283,001136,混合型,0.00%,8.28%,14.06%,无,5.95亿元
4284,160633,股票指数,-2.39%,29.09%,-12.18%,高风险,5.43亿元
4285,161908,债券型,1.75%,11.27%,11.78%,中风险,0.57亿元
4286,210011,混合型,0.11%,8.10%,17.23%,中高风险,0.59亿元
4287,000117,混合型,4.40%,27.67%,16.99%,中高风险,8.92亿元
4288,000406,债券型,0.84%,5.50%,13.40%,中风险,2.42亿元
4289,163412,混合型,-0.03%,19.17%,33.33%,中高风险,52.80亿元
4290,519736,混合型,2.06%,19.61%,57.21%,中高风险,33.45亿元
4291,000654,混合型,4.37%,20.48%,-22.66%,中高风险,22.00亿元
4292,000849,混合型,-2.26%,5.30%,19.93%,中高风险,33.94亿元
4293,001139,混合型,0.25%,5.16%,11.93%,中高风险,12.45亿元
4294,519967,债券型,1.63%,1.90%,-0.33%,中风险,1.23亿元
4295,320021,债券型,0.81%,12.75%,40.51%,中风险,10.54亿元
4296,000407,债券型,0.84%,5.10%,12.26%,中风险,0.16亿元
4297,210007,混合型,-0.54%,-16.99%,-36.82%,中高风险,0.36亿元
4298,000496,混合型,0.79%,12.00%,27.84%,中高风险,0.09亿元
4299,519976,债券型,1.27%,6.00%,6.62%,中高风险,5.36亿元
4300,000143,债券型,1.45%,8.91%,10.93%,中风险,0.51亿元
4301,000850,混合型,-2.31%,4.78%,18.40%,中高风险,2.63亿元
4302,001044,股票型,4.60%,12.65%,56.69%,高风险,28.39亿元
4303,000638,货币型,0.22%,2.87%,11.01%,低风险,366.31亿元
4304,000668,债券型,0.63%,6.11%,12.46%,中低风险,12.42亿元
4305,519669,债券型,0.64%,4.76%,13.78%,中低风险,16.94亿元
4306,070022,混合型,1.18%,8.07%,0.46%,中高风险,13.14亿元
4307,000434,货币型,0.18%,2.46%,10.00%,低风险,5.44亿元
4308,001154,混合型,5.58%,4.63%,-21.96%,中高风险,0.42亿元
4309,000419,债券型,0.82%,5.80%,14.14%,中低风险,24.73亿元
4310,000128,债券型,0.54%,3.01%,11.83%,中低风险,12.79亿元
4311,519977,债券型,1.31%,6.56%,8.09%,中高风险,21.27亿元
4312,370024,混合型,4.28%,19.89%,22.04%,中高风险,12.74亿元
4313,000669,债券型,0.55%,7.53%,13.39%,中低风险,2.29亿元
4314,001134,货币型,0.19%,2.59%,10.54%,无,840.29亿元
4315,519858,货币型,0.16%,2.15%,9.11%,无,4.04亿元
4316,000520,混合型,1.88%,27.64%,27.06%,中高风险,2.74亿元
4317,519676,债券型,0.36%,4.85%,11.45%,中风险,21.24亿元
4318,420009,混合型,1.23%,8.37%,14.17%,中高风险,6.96亿元
4319,166007,混合型,0.80%,13.54%,21.34%,中高风险,0.63亿元
4320,000420,债券型,0.74%,5.49%,13.10%,中低风险,1.41亿元
4321,519002,混合型,5.18%,39.82%,31.58%,中高风险,3.59亿元
4322,163209,股票指数,0.88%,-13.71%,-42.27%,高风险,0.18亿元
4323,000706,混合型,4.19%,13.20%,4.70%,中高风险,1.54亿元
4324,090011,混合型,0.60%,12.17%,8.32%,中高风险,0.89亿元
4325,400032,混合型,5.43%,4.21%,-25.75%,中高风险,1.02亿元
4326,000294,混合型,1.32%,39.95%,67.06%,中高风险,5.10亿元
4327,630010,混合型,4.19%,8.65%,-19.86%,中高风险,8.40亿元
4328,700005,债券型,0.63%,5.93%,10.35%,中低风险,21.64亿元
4329,000566,混合型,4.26%,11.68%,43.87%,中高风险,9.98亿元
4330,166011,混合型,3.91%,16.40%,10.36%,中高风险,5.95亿元
4331,000684,混合型,3.81%,-2.85%,-4.52%,中高风险,0.48亿元
4332,217016,股票指数,0.67%,18.12%,21.96%,高风险,0.92亿元
4333,001021,债券指数,1.05%,7.08%,8.10%,中低风险,57.56亿元
4334,163115,股票指数,1.34%,12.82%,-26.88%,高风险,10.99亿元
4335,000107,债券型,0.96%,8.14%,13.49%,中风险,1.42亿元
4336,000404,混合型,8.84%,14.07%,0.39%,中高风险,15.87亿元
4337,700006,债券型,0.59%,5.46%,8.93%,中低风险,12.64亿元
4338,253030,债券型,0.64%,5.04%,7.89%,中风险,0.53亿元
4339,001119,混合型,-0.49%,-2.80%,-2.65%,中高风险,0.35亿元
4340,080012,混合型,5.03%,5.12%,-27.47%,中高风险,10.52亿元
4341,519059,债券型,-0.95%,-1.62%,-13.16%,中高风险,0.06亿元
4342,001023,债券指数,1.00%,6.67%,6.95%,中低风险,0.84亿元
4343,000712,货币型,0.17%,2.18%,9.08%,低风险,0.12亿元
4344,000109,债券型,0.97%,7.74%,12.12%,中风险,0.20亿元
4345,460009,混合型,0.15%,4.42%,10.12%,中高风险,28.61亿元
4346,000709,货币型,0.20%,2.85%,10.82%,低风险,118.93亿元
4347,000974,股票型,-0.30%,5.98%,26.34%,高风险,27.32亿元
4348,000380,货币型,0.20%,2.64%,9.81%,低风险,971.13亿元
4349,040038,货币型,0.21%,2.66%,10.32%,低风险,1563.72亿元
4350,080007,混合型,-0.74%,2.08%,-2.51%,中高风险,0.31亿元
4351,162510,股票指数,0.72%,-0.12%,-22.68%,高风险,0.10亿元
4352,160625,股票指数,-2.49%,23.60%,8.40%,高风险,13.02亿元
4353,630006,混合型,7.26%,11.80%,1.70%,中高风险,1.73亿元
4354,000110,混合型,0.98%,10.84%,14.33%,中高风险,2.96亿元
4355,000855,货币型,0.19%,2.43%,9.23%,低风险,86.20亿元
4356,001054,股票型,1.45%,24.97%,18.72%,高风险,7.47亿元
4357,000328,混合型,5.85%,13.12%,-2.14%,中高风险,5.06亿元
4358,000678,货币型,0.23%,2.93%,11.06%,低风险,16.54亿元
4359,217022,债券型,0.77%,7.40%,17.22%,中风险,33.44亿元
4360,161015,债券型,0.84%,7.95%,13.87%,中风险,3.17亿元
4361,540008,股票型,0.44%,-8.69%,-40.09%,高风险,2.09亿元
4362,160626,股票指数,5.83%,10.33%,-0.05%,高风险,4.08亿元
4363,100066,债券型,0.77%,7.10%,12.66%,中低风险,1.58亿元
4364,159004,货币型,0.20%,2.48%,10.43%,无,0.87亿元
4365,001117,混合型,2.61%,33.70%,42.36%,中高风险,11.46亿元
4366,000395,债券型,0.48%,4.68%,7.92%,中低风险,2.04亿元
4367,257070,混合型,11.03%,23.96%,-1.43%,中高风险,5.82亿元
4368,000367,混合型,-0.68%,5.37%,14.47%,中高风险,0.33亿元
4369,000857,货币型,0.21%,2.58%,9.72%,无,1.16亿元
4370,570008,混合型,1.85%,18.44%,29.32%,中高风险,1.04亿元
4371,100068,债券型,0.73%,6.76%,11.04%,中低风险,0.84亿元
4372,070019,混合型,1.94%,8.72%,35.08%,中高风险,29.00亿元
4373,160123,债券指数,1.05%,6.15%,6.08%,中低风险,0.18亿元
4374,000396,债券型,0.40%,4.45%,9.51%,中低风险,0.28亿元
4375,001028,股票型,4.76%,16.88%,-6.03%,高风险,9.39亿元
4376,000073,混合型,6.66%,7.94%,10.72%,中高风险,2.55亿元
4377,160133,股票型,4.01%,24.44%,47.86%,高风险,6.52亿元
4378,000586,股票型,3.46%,11.83%,-15.02%,高风险,4.56亿元
4379,000750,货币型,0.17%,2.09%,9.23%,无,2.00亿元
4380,050014,混合型,4.97%,8.94%,5.69%,中高风险,3.05亿元
4381,160124,债券指数,1.03%,5.78%,5.02%,中低风险,0.78亿元
4382,590009,债券型,0.64%,5.79%,10.39%,中低风险,59.64亿元
4383,020026,混合型,0.51%,0.51%,8.96%,中高风险,25.19亿元
4384,000634,混合型,7.95%,39.78%,60.50%,中高风险,3.27亿元
4385,000430,债券型,0.52%,6.10%,8.11%,无,5.71亿元
4386,210006,混合型,0.83%,3.52%,3.29%,中高风险,2.92亿元
4387,001030,混合型,2.93%,18.23%,11.64%,中高风险,3.02亿元
4388,000891,货币型,0.22%,3.08%,11.20%,低风险,105.10亿元
4389,000069,债券型,1.09%,6.08%,11.50%,中低风险,0.49亿元
4390,206003,债券型,0.47%,7.23%,12.58%,中风险,8.72亿元
4391,590010,债券型,0.64%,5.44%,9.23%,中低风险,0.60亿元
4392,000719,货币型,0.21%,2.88%,11.19%,无,874.65亿元
4393,000186,债券型,0.68%,6.18%,15.71%,中低风险,11.16亿元
4394,000551,混合型,2.64%,22.24%,8.93%,中高风险,0.11亿元
4395,090018,混合型,6.28%,16.70%,6.66%,中高风险,0.49亿元
4396,233009,混合型,0.66%,3.88%,-29.86%,中高风险,15.68亿元
4397,001106,混合型,3.51%,12.04%,4.14%,中高风险,8.70亿元
4398,206004,债券型,0.43%,6.94%,11.78%,中风险,0.19亿元
4399,000835,股票指数,-0.77%,21.17%,53.12%,高风险,3.58亿元
4400,000070,债券型,1.09%,5.80%,10.49%,中低风险,0.09亿元
4401,090022,货币型,0.19%,2.51%,10.05%,低风险,307.60亿元
4402,530018,股票指数,-0.37%,10.28%,15.60%,高风险,0.93亿元
4403,688888,混合型,0.37%,2.38%,-16.33%,中高风险,2.82亿元
4404,000385,债券型,0.83%,6.25%,11.82%,中风险,5.37亿元
4405,000589,混合型,5.42%,32.85%,19.69%,中高风险,1.42亿元
4406,590005,混合型,4.19%,14.05%,-12.09%,中高风险,8.72亿元
4407,000667,混合型,0.81%,0.45%,3.69%,中低风险,0.73亿元
4408,000871,货币型,0.28%,2.76%,10.30%,低风险,0.71亿元
4409,000072,混合型,-0.10%,1.24%,6.36%,中高风险,4.61亿元
4410,360013,债券型,2.57%,4.84%,8.32%,中风险,0.09亿元
4411,001110,混合型,1.28%,7.80%,16.97%,无,0.02亿元
4412,260117,混合型,-1.38%,11.44%,24.98%,中高风险,0.99亿元
4413,261002,债券型,0.21%,3.96%,7.84%,中风险,0.05亿元
4414,000607,货币型,0.18%,2.78%,10.98%,无,1157.26亿元
4415,233007,混合型,5.58%,18.45%,19.97%,中高风险,4.96亿元
4416,000386,债券型,0.78%,5.75%,10.44%,中风险,0.10亿元
4417,730002,混合型,-0.35%,-8.89%,6.98%,中高风险,1.04亿元
4418,360014,债券型,2.48%,4.45%,7.11%,中风险,0.09亿元
4419,000618,货币型,0.21%,2.85%,10.57%,无,173.86亿元
4420,100039,混合型,6.22%,28.11%,35.33%,中高风险,1.23亿元
4421,000895,货币型,0.21%,2.88%,11.20%,无,315.92亿元
4422,001111,混合型,1.28%,7.79%,16.15%,无,6.06亿元
4423,261102,债券型,0.21%,4.58%,7.59%,中风险,0.03亿元
4424,530021,债券型,0.81%,5.96%,13.60%,中低风险,17.11亿元
4425,000354,混合型,5.76%,7.04%,-11.62%,中高风险,0.59亿元
4426,166019,混合型,4.67%,21.67%,9.15%,中高风险,3.90亿元
4427,000672,混合型,0.66%,-0.56%,1.04%,中低风险,0.49亿元
4428,000625,货币型,0.21%,2.72%,10.81%,无,0.58亿元
4429,162215,债券型,0.65%,10.46%,5.38%,中风险,0.45亿元
4430,001048,股票型,-3.40%,9.06%,11.30%,高风险,19.84亿元
4431,040016,混合型,0.61%,30.24%,32.89%,中高风险,2.19亿元
4432,000355,债券型,1.24%,7.34%,7.90%,中风险,12.41亿元
4433,610008,债券型,3.77%,8.95%,9.33%,中风险,3.68亿元
4434,233011,混合型,4.33%,16.20%,18.81%,中高风险,2.31亿元
4435,531021,债券型,0.75%,5.53%,12.37%,中低风险,7.15亿元
4436,000681,货币型,0.18%,2.31%,9.71%,低风险,1.26亿元
4437,519062,混合型,0.39%,4.79%,23.89%,中低风险,16.42亿元
4438,320015,混合型,0.90%,10.31%,17.65%,中高风险,2.91亿元
4439,583001,货币型,0.20%,2.41%,9.52%,低风险,1.45亿元
4440,610108,债券型,3.79%,8.83%,8.25%,中风险,0.03亿元
4441,000563,债券型,0.72%,7.81%,11.78%,中低风险,17.86亿元
4442,001122,混合型,1.27%,7.73%,14.35%,中高风险,8.84亿元
4443,000356,债券型,1.17%,6.91%,6.63%,中风险,8.15亿元
4444,270029,债券型,0.77%,5.95%,8.95%,中风险,18.42亿元
4445,485019,债券型,0.71%,4.11%,6.30%,中低风险,0.18亿元
4446,000824,混合型,1.05%,16.30%,27.63%,中高风险,18.01亿元
4447,590006,混合型,2.13%,15.13%,-3.31%,中高风险,6.68亿元
4448,000683,货币型,0.17%,2.10%,8.85%,低风险,0.18亿元
4449,000063,混合型,7.20%,-7.31%,-32.43%,中高风险,5.72亿元
4450,000564,债券型,0.63%,7.32%,10.43%,中低风险,2.18亿元
4451,000263,混合型,7.25%,31.16%,0.64%,中高风险,5.29亿元
4452,000828,股票型,5.50%,30.48%,11.38%,高风险,0.69亿元
4453,001123,混合型,1.25%,7.41%,13.32%,中高风险,0.18亿元
4454,161812,股票指数,-1.35%,18.19%,7.11%,高风险,64.38亿元
4455,270030,债券型,0.70%,5.51%,7.69%,中风险,3.02亿元
4456,485119,债券型,0.74%,4.56%,7.73%,中低风险,1.02亿元
4457,000604,货币型,0.20%,2.73%,10.89%,低风险,3.12亿元
4458,000694,债券型,0.89%,7.28%,14.07%,中低风险,11.06亿元
4459,519170,混合型,2.15%,14.43%,-12.25%,中高风险,18.08亿元
4460,163409,混合型,4.97%,31.02%,10.88%,中高风险,4.67亿元
4461,162715,债券型,0.37%,4.52%,8.82%,中低风险,39.50亿元
4462,470009,混合型,3.80%,13.55%,9.26%,中高风险,40.70亿元
4463,000831,股票型,8.92%,14.24%,27.07%,高风险,30.10亿元
4464,000314,混合型,0.22%,7.90%,13.37%,中高风险,0.17亿元
4465,660015,混合型,2.54%,10.43%,12.75%,中高风险,2.36亿元
4466,163819,债券型,1.23%,8.51%,11.69%,中风险,32.28亿元
4467,000298,债券型,0.18%,4.53%,2.85%,中低风险,0.25亿元
4468,165310,股票型,-0.84%,9.21%,21.26%,高风险,1.15亿元
4469,320011,混合型,0.73%,5.25%,16.31%,中高风险,11.70亿元
4470,001096,货币型,0.22%,3.00%,11.24%,低风险,11.22亿元
4471,000695,混合型,-0.07%,0.42%,1.97%,中高风险,0.11亿元
4472,000368,股票指数,0.95%,9.19%,17.46%,高风险,3.24亿元
4473,570007,混合型,4.43%,-4.19%,11.34%,中高风险,0.46亿元
4474,162716,债券型,0.37%,4.13%,7.39%,中低风险,0.03亿元
4475,000839,债券型,0.39%,3.39%,3.58%,中低风险,31.73亿元
4476,162105,债券型,1.68%,4.86%,0.47%,中风险,0.56亿元
4477,162213,股票指数,-0.67%,18.99%,34.54%,高风险,2.25亿元
4478,161119,债券指数,0.81%,7.07%,12.92%,中低风险,1.48亿元
4479,000299,债券型,0.09%,4.31%,1.82%,中低风险,0.38亿元
4480,164703,债券型,0.57%,4.99%,11.33%,中低风险,22.32亿元
4481,240018,债券型,3.39%,18.39%,0.46%,中高风险,0.59亿元
4482,000065,混合型,0.77%,10.29%,19.59%,中高风险,12.18亿元
4483,000699,货币型,0.21%,2.97%,10.74%,低风险,81.13亿元
4484,001009,股票型,10.53%,25.44%,16.23%,高风险,6.88亿元
4485,165806,股票指数,-0.86%,8.62%,-0.69%,高风险,0.07亿元
4486,163406,混合型,2.58%,35.40%,38.74%,中高风险,51.98亿元
4487,000840,债券型,0.39%,3.39%,3.08%,中低风险,0.06亿元
4488,000336,混合型,8.00%,9.92%,-19.13%,中高风险,2.11亿元
4489,161120,债券指数,0.78%,6.81%,11.90%,中低风险,0.29亿元
4490,206008,债券型,1.38%,5.47%,10.46%,中风险,32.55亿元
4491,000545,混合型,2.55%,5.22%,-41.52%,中高风险,5.41亿元
4492,000066,混合型,3.71%,8.47%,15.05%,中高风险,0.68亿元
4493,270022,混合型,2.00%,20.69%,8.92%,中高风险,4.79亿元
4494,519127,混合型,4.27%,16.05%,23.08%,中高风险,1.71亿元
4495,470098,混合型,-0.05%,4.68%,8.28%,中高风险,7.00亿元
4496,001067,混合型,1.00%,6.47%,16.29%,中高风险,1.72亿元
4497,519714,股票型,2.15%,14.32%,45.26%,高风险,11.14亿元
4498,162509,股票指数,-0.39%,16.19%,33.64%,高风险,1.47亿元
4499,519673,股票型,5.65%,24.96%,24.04%,高风险,4.80亿元
4500,040020,混合型,1.23%,31.37%,25.04%,中高风险,1.72亿元
4501,519165,混合型,1.44%,6.12%,1.20%,中高风险,0.20亿元
4502,000083,混合型,4.53%,41.14%,94.17%,中高风险,65.19亿元
4503,000184,债券型,0.34%,-1.95%,-4.51%,中风险,8.23亿元
4504,210004,混合型,0.93%,7.50%,-11.39%,中高风险,10.42亿元
4505,160621,债券型,2.99%,10.24%,8.11%,中风险,0.63亿元
4506,740001,混合型,-5.35%,-5.27%,-18.57%,中高风险,0.69亿元
4507,000185,债券型,0.27%,-0.07%,-3.50%,中风险,0.22亿元
4508,000577,股票型,-1.39%,10.29%,32.98%,高风险,37.92亿元
4509,000822,混合型,3.83%,9.09%,-4.91%,中高风险,0.13亿元
4510,360012,混合型,2.96%,11.37%,0.43%,中高风险,3.19亿元
4511,164811,股票指数,-4.00%,-3.04%,4.61%,高风险,0.24亿元
4512,166801,混合型,5.10%,19.07%,12.66%,中高风险,4.07亿元
4513,000309,股票型,2.03%,18.96%,7.78%,高风险,4.29亿元
4514,400016,债券型,0.94%,7.54%,9.57%,中风险,2.74亿元
4515,690008,股票指数,0.00%,-5.80%,-10.19%,高风险,0.86亿元
4516,000615,货币型,0.20%,2.50%,9.89%,低风险,0.53亿元
4517,162108,债券型,0.08%,2.78%,6.67%,中低风险,0.59亿元
4518,160512,混合型,3.18%,19.62%,-15.20%,中高风险,3.20亿元
4519,000311,股票指数,-1.19%,12.19%,35.71%,高风险,89.65亿元
4520,000937,债券型,0.68%,7.59%,-17.01%,中低风险,0.16亿元
4521,000578,债券型,1.56%,4.36%,-0.58%,中风险,0.05亿元
4522,399011,股票型,6.57%,19.10%,61.20%,高风险,16.78亿元
4523,519026,混合型,7.44%,13.55%,-6.26%,中高风险,1.28亿元
4524,000859,债券型,0.10%,-4.20%,-2.90%,中风险,0.01亿元
4525,000704,货币型,0.19%,2.61%,10.62%,低风险,20.75亿元
4526,000057,混合型,1.48%,8.84%,4.80%,中高风险,0.85亿元
4527,160620,股票指数,-0.40%,0.77%,-7.82%,高风险,1.57亿元
4528,000938,债券型,0.69%,7.22%,-18.05%,中低风险,0.18亿元
4529,000579,债券型,1.52%,3.95%,-1.64%,中风险,0.06亿元
4530,000324,货币型,0.17%,2.19%,9.20%,低风险,0.42亿元
4531,481013,混合型,1.86%,14.73%,29.89%,中高风险,5.61亿元
4532,320018,混合型,1.68%,21.04%,17.36%,中高风险,0.54亿元
4533,000860,货币型,0.22%,2.98%,11.34%,低风险,137.81亿元
4534,165807,债券型,1.52%,-7.86%,-8.40%,中低风险,0.58亿元
4535,202019,混合型,0.71%,5.21%,-16.04%,中高风险,6.19亿元
4536,000663,混合型,7.71%,25.29%,18.80%,中高风险,2.93亿元
4537,000584,混合型,3.19%,13.97%,31.92%,中高风险,2.67亿元
4538,000343,货币型,0.21%,2.87%,10.88%,无,678.90亿元
4539,161614,债券型,0.38%,7.66%,12.98%,中风险,8.95亿元
4540,202027,混合型,5.20%,15.60%,20.26%,中高风险,3.13亿元
4541,000028,债券型,1.98%,3.91%,5.75%,中低风险,0.89亿元
4542,000976,混合型,0.64%,7.60%,3.79%,中高风险,0.86亿元
4543,090013,混合型,-8.04%,-8.44%,6.48%,中高风险,1.76亿元
4544,000736,债券型,0.83%,7.52%,13.47%,中低风险,0.30亿元
4545,163001,混合型,7.86%,13.71%,5.00%,中高风险,0.88亿元
4546,050023,债券型,2.31%,8.66%,19.18%,中风险,7.24亿元
4547,000549,股票型,5.50%,19.90%,7.20%,高风险,1.67亿元
4548,000359,货币型,0.20%,2.90%,11.34%,无,1621.63亿元
4549,000657,货币型,0.00%,0.00%,0.60%,低风险,0.00亿元
4550,000032,债券型,0.81%,7.03%,12.78%,中低风险,26.68亿元
4551,370023,股票指数,1.33%,14.76%,22.57%,高风险,0.45亿元
4552,000991,股票型,5.20%,18.06%,34.91%,高风险,9.15亿元
4553,000737,债券型,0.76%,7.07%,12.03%,中低风险,0.16亿元
4554,050123,债券型,2.30%,8.14%,17.73%,中风险,0.25亿元
4555,000574,混合型,0.61%,37.50%,0.61%,中高风险,9.97亿元
4556,000389,货币型,0.19%,2.73%,10.18%,无,33.97亿元
4557,020022,混合型,0.65%,22.58%,18.82%,中高风险,1.17亿元
4558,750002,债券型,0.72%,6.68%,12.71%,中低风险,1.50亿元
4559,000033,债券型,0.72%,6.72%,11.75%,中低风险,5.76亿元
4560,000659,货币型,0.00%,0.00%,0.88%,低风险,0.00亿元
4561,399001,股票指数,-0.79%,19.25%,43.08%,高风险,1.98亿元
4562,000331,货币型,0.20%,2.63%,10.30%,低风险,13.99亿元
4563,001050,股票型,0.81%,11.07%,-2.37%,高风险,11.35亿元
4564,160918,混合型,3.50%,10.51%,29.67%,中高风险,7.62亿元
4565,240020,混合型,11.95%,21.18%,37.83%,中高风险,4.59亿元
4566,400013,混合型,-4.61%,-0.03%,-1.62%,中高风险,0.54亿元
4567,519726,债券型,0.46%,2.65%,7.76%,中风险,1.14亿元
4568,000823,混合型,0.13%,6.23%,-2.08%,中高风险,2.62亿元
4569,000371,货币型,0.23%,3.12%,11.25%,无,285.20亿元
4570,750003,债券型,0.64%,6.17%,11.21%,中低风险,0.46亿元
4571,000595,混合型,5.85%,34.61%,46.72%,中高风险,11.78亿元
4572,660005,混合型,3.82%,12.26%,-2.90%,中高风险,7.66亿元
4573,000660,货币型,0.00%,0.00%,1.60%,低风险,0.00亿元
4574,000603,混合型,3.10%,11.15%,-10.12%,中高风险,19.44亿元
4575,200013,债券型,0.45%,2.70%,6.49%,中风险,10.99亿元
4576,770001,混合型,2.20%,10.89%,20.00%,中高风险,0.33亿元
4577,253060,债券型,0.71%,5.96%,4.03%,中风险,0.56亿元
4578,000165,混合型,3.04%,13.49%,19.86%,中高风险,5.43亿元
4579,000868,货币型,0.22%,2.54%,10.43%,无,3.63亿元
4580,650001,债券型,1.18%,8.09%,13.62%,中低风险,18.63亿元
4581,000661,货币型,0.00%,0.00%,2.75%,低风险,0.00亿元
4582,160812,混合型,2.13%,5.04%,-2.24%,中高风险,1.33亿元
4583,000968,股票指数,2.41%,2.04%,-3.38%,高风险,13.83亿元
4584,163809,混合型,5.90%,18.09%,24.83%,中高风险,2.96亿元
4585,000869,货币型,0.22%,2.56%,10.49%,无,39.25亿元
4586,519188,债券型,0.70%,6.33%,9.93%,中低风险,7.78亿元
4587,253061,债券型,0.68%,5.65%,3.02%,中风险,0.02亿元
4588,200113,债券型,0.41%,2.35%,5.23%,中风险,0.26亿元
4589,650002,债券型,1.15%,7.72%,12.28%,中低风险,0.71亿元
4590,000312,股票指数,-0.17%,14.29%,34.16%,高风险,2.41亿元
4591,000662,货币型,0.22%,3.08%,11.55%,低风险,479.97亿元
4592,000996,股票型,8.21%,18.10%,-22.42%,高风险,11.26亿元
4593,160630,股票指数,1.99%,5.23%,-34.46%,高风险,67.31亿元
4594,310398,股票指数,-3.72%,9.98%,41.75%,高风险,19.33亿元
4595,161024,股票指数,-0.85%,11.52%,-30.58%,高风险,76.71亿元
4596,519189,债券型,0.68%,5.94%,8.62%,中低风险,0.25亿元
4597,660008,股票指数,-0.82%,13.89%,21.41%,高风险,8.74亿元
4598,161720,股票指数,-2.92%,25.94%,-16.93%,高风险,70.81亿元
4599,160212,混合型,7.03%,11.59%,-5.64%,中高风险,22.43亿元
4600,070017,混合型,-0.46%,11.02%,-6.52%,中高风险,2.10亿元
4601,290012,混合型,4.03%,17.41%,17.43%,中高风险,0.77亿元
4602,000313,股票指数,-0.21%,13.69%,32.26%,高风险,1.69亿元
4603,000058,混合型,0.65%,12.67%,15.31%,中高风险,1.89亿元
4604,000772,混合型,1.10%,1.71%,-2.93%,中高风险,0.56亿元
4605,000687,货币型,0.21%,2.87%,10.95%,无,116.01亿元
4606,481010,混合型,1.11%,18.12%,-11.68%,中高风险,3.28亿元
4607,320014,股票指数,0.00%,11.20%,3.25%,高风险,0.51亿元
4608,519060,债券型,0.46%,4.15%,10.91%,中低风险,0.32亿元
4609,519679,混合型,7.45%,17.09%,5.84%,中高风险,6.15亿元
4610,519024,债券型,0.25%,2.63%,7.81%,中风险,0.03亿元
4611,000084,债券型,0.36%,4.17%,10.03%,中低风险,12.83亿元
4612,161693,债券型,0.43%,7.19%,12.26%,中低风险,2.94亿元
4613,000139,债券型,0.39%,4.22%,10.97%,中低风险,6.76亿元
4614,519061,债券型,0.45%,4.55%,12.24%,中低风险,22.61亿元
4615,000513,股票型,3.73%,25.19%,23.58%,高风险,6.61亿元
4616,550009,混合型,7.27%,11.86%,-0.91%,中高风险,0.36亿元
4617,161118,股票指数,2.22%,0.43%,-10.86%,高风险,8.04亿元
4618,160813,混合型,3.39%,8.62%,1.40%,中高风险,1.54亿元
4619,213006,混合型,9.04%,23.61%,4.37%,中高风险,9.79亿元
4620,000085,债券型,0.32%,3.82%,8.78%,中低风险,76.26亿元
4621,360016,混合型,9.42%,45.66%,23.73%,中高风险,1.26亿元
4622,000141,债券型,0.36%,3.76%,9.82%,中低风险,0.75亿元
4623,270044,债券型,0.61%,6.41%,13.05%,中低风险,76.58亿元
4624,000590,混合型,0.89%,6.59%,18.48%,中高风险,5.06亿元
4625,165515,股票指数,-1.23%,12.36%,24.68%,高风险,3.98亿元
4626,410009,混合型,2.24%,1.95%,-7.96%,中高风险,0.51亿元
4627,000626,货币型,0.20%,2.54%,10.03%,低风险,0.14亿元
4628,160622,债券型,1.29%,8.03%,10.60%,中低风险,8.68亿元
4629,260110,混合型,4.39%,20.11%,47.19%,中高风险,38.55亿元
4630,213010,股票指数,0.44%,22.65%,51.94%,高风险,2.36亿元
4631,164814,债券型,1.63%,13.06%,7.59%,中风险,0.52亿元
4632,000126,混合型,5.26%,19.49%,21.96%,中高风险,2.18亿元
4633,000522,混合型,11.28%,13.25%,0.20%,中高风险,0.58亿元
4634,270045,债券型,0.57%,6.11%,12.02%,中低风险,1.97亿元
