,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
3364,519753,债券型,0.78%,1.67%,4.66%,中风险,0.52亿元
3365,002580,混合型,3.85%,14.46%,-8.66%,无,0.27亿元
3366,002088,混合型,1.46%,10.58%,17.61%,中高风险,0.09亿元
3367,001076,混合型,3.06%,25.30%,62.04%,中高风险,18.12亿元
3368,001087,债券型,0.38%,-0.76%,1.55%,中风险,0.00亿元
3369,002442,债券型,0.44%,4.87%,13.40%,中低风险,32.19亿元
3370,000800,混合型,4.88%,0.76%,-45.90%,中高风险,8.70亿元
3371,002086,债券型,0.55%,3.21%,12.55%,中低风险,2.87亿元
3372,001234,货币型,0.24%,3.23%,11.56%,低风险,206.60亿元
3373,002583,混合型,4.03%,17.41%,0.63%,无,0.00亿元
3374,000297,债券型,3.29%,11.89%,9.29%,中高风险,0.80亿元
3375,001220,混合型,5.74%,12.95%,-1.58%,中高风险,5.28亿元
3376,001094,货币型,0.20%,2.77%,10.65%,无,220.81亿元
3377,501015,混合型,3.45%,-1.29%,-18.46%,中高风险,10.98亿元
3378,001675,混合型,1.13%,18.69%,1.55%,中高风险,0.36亿元
3379,001384,混合型,0.29%,2.05%,-7.57%,中高风险,1.97亿元
3380,002091,混合型,-0.90%,1.90%,10.34%,无,1.27亿元
3381,000805,混合型,1.50%,12.32%,-24.76%,中高风险,4.06亿元
3382,002296,混合型,2.61%,10.44%,15.07%,中高风险,1.51亿元
3383,002635,债券型,0.50%,3.97%,9.02%,中低风险,15.59亿元
3384,001225,混合型,1.70%,0.84%,-33.05%,中高风险,15.17亿元
3385,000628,股票型,0.39%,21.44%,54.86%,高风险,6.29亿元
3386,001827,混合型,-1.02%,11.63%,14.97%,中高风险,0.51亿元
3387,001385,混合型,0.26%,1.67%,-8.63%,中高风险,1.59亿元
3388,001676,混合型,1.11%,18.25%,-0.35%,中高风险,0.03亿元
3389,002101,债券型,0.03%,7.51%,9.25%,中高风险,0.02亿元
3390,001095,货币型,0.20%,2.77%,10.68%,无,26.87亿元
3391,002672,货币型,0.19%,2.46%,9.84%,低风险,1.48亿元
3392,002293,混合型,5.53%,10.61%,16.55%,中高风险,1.65亿元
3393,001282,混合型,1.74%,9.85%,14.24%,中高风险,1.16亿元
3394,002425,混合型,0.82%,3.41%,3.60%,中高风险,0.07亿元
3395,001496,股票型,-1.26%,13.39%,-23.09%,高风险,1.94亿元
3396,000788,混合型,2.14%,19.52%,1.06%,中高风险,0.66亿元
3397,002102,债券型,-0.01%,7.16%,0.63%,中高风险,0.03亿元
3398,000926,混合型,2.05%,-0.90%,-33.98%,中高风险,0.21亿元
3399,001695,混合型,-0.81%,23.46%,20.79%,中高风险,9.67亿元
3400,519767,混合型,2.21%,19.05%,15.39%,中高风险,3.84亿元
3401,001192,混合型,0.68%,-0.50%,-15.91%,中高风险,8.23亿元
3402,002339,混合型,1.11%,10.84%,22.60%,无,0.25亿元
3403,001954,混合型,-0.19%,12.38%,-0.19%,中高风险,0.18亿元
3404,001529,货币型,0.21%,2.61%,10.50%,无,975.44亿元
3405,001323,混合型,3.25%,-5.64%,-7.44%,中高风险,0.98亿元
3406,002141,混合型,-0.28%,-0.83%,1.93%,中高风险,10.89亿元
3407,531008,债券型,0.45%,5.96%,7.87%,中风险,3.66亿元
3408,000994,混合型,1.74%,5.98%,2.69%,中高风险,0.99亿元
3409,001986,混合型,4.45%,6.22%,6.93%,中高风险,10.96亿元
3410,001728,混合型,-0.55%,25.27%,35.72%,中高风险,1.91亿元
3411,161030,股票指数,7.79%,18.86%,-36.81%,高风险,1.16亿元
3412,001373,混合型,3.84%,20.82%,32.31%,中高风险,107.91亿元
3413,000953,混合型,0.45%,1.03%,-3.29%,中高风险,1.37亿元
3414,519759,混合型,0.85%,7.23%,21.15%,无,0.53亿元
3415,002337,债券型,-2.63%,-10.46%,-4.93%,中低风险,0.00亿元
3416,001730,混合型,4.10%,-7.41%,-21.69%,中高风险,0.79亿元
3417,002447,债券型,0.78%,6.12%,12.29%,中低风险,8.14亿元
