,FundCode,类型
4571,160609,货币型
4619,161608,货币型
4624,161615,货币型
4626,161622,货币型
4627,161623,货币型
4664,162206,货币型
4751,166014,货币型
4752,166015,货币型
4796,180008,货币型
4797,180009,货币型
4809,200003,货币型
4820,200103,货币型
4841,202301,货币型
4842,202302,货币型
4843,202307,货币型
4844,202308,货币型
4866,210012,货币型
4867,210013,货币型
4875,213009,货币型
4876,213909,货币型
4881,217004,货币型
4889,217014,货币型
4913,240006,货币型
4914,240007,货币型
4929,253050,货币型
4930,253051,货币型
4957,270004,货币型
4962,270014,货币型
4977,288101,货币型
4979,288201,货币型
4980,290001,货币型
4995,310338,货币型
4996,310339,货币型
5003,320002,货币型
5016,320019,货币型
5021,340005,货币型
5028,350004,货币型
5035,360003,货币型
5047,370010,货币型
5048,370011,货币型
5071,392001,货币型
5072,392002,货币型
5087,400005,货币型
5088,400006,货币型
5102,410002,货币型
5113,420006,货币型
5117,420106,货币型
5135,460006,货币型
5139,460106,货币型
5161,482002,货币型
5217,511600,货币型
5218,511620,货币型
5219,511650,货币型
5220,511660,货币型
5221,511670,货币型
5222,511690,货币型
5223,511700,货币型
5224,511770,货币型
5225,511800,货币型
5226,511810,货币型
5227,511820,货币型
5228,511830,货币型
5229,511850,货币型
5230,511860,货币型
5231,511900,货币型
5232,511910,货币型
5233,511920,货币型
5234,511930,货币型
5235,511950,货币型
5236,511960,货币型
5237,511970,货币型
5238,511980,货币型
5239,511990,货币型
5343,519501,货币型
5344,519505,货币型
5345,519506,货币型
5346,519507,货币型
5347,519508,货币型
5348,519509,货币型
5349,519510,货币型
5350,519511,货币型
5351,519512,货币型
5352,519513,货币型
5353,519516,货币型
5354,519517,货币型
5355,519518,货币型
5357,519566,货币型
5358,519567,货币型
5359,519568,货币型
5470,519800,货币型
5471,519801,货币型
5472,519808,货币型
5473,519809,货币型
5474,519858,货币型
5475,519859,货币型
5476,519878,货币型
5477,519879,货币型
5478,519888,货币型
5479,519889,货币型
5480,519898,货币型
5481,519899,货币型
5512,519998,货币型
5513,519999,货币型
5515,530002,货币型
5543,540011,货币型
5545,541011,货币型
5553,550010,货币型
5554,550011,货币型
5559,560001,货币型
5583,583001,货币型
5584,583101,货币型
5610,620010,货币型
5611,620011,货币型
5622,630012,货币型
5628,630112,货币型
5637,660007,货币型
5644,660107,货币型
5666,675031,货币型
5667,675032,货币型
5672,675061,货币型
5673,675062,货币型
5674,675071,货币型
5675,675072,货币型
5694,690010,货币型
5698,690210,货币型
5708,710501,货币型
5709,710502,货币型
5715,730003,货币型
5716,730103,货币型
5718,740601,货币型
5719,740602,货币型
5724,750006,货币型
5725,750007,货币型
